celltype,zero,cytokine-mean,DE-profile-nearest,feature-nearest,n_held
B_cell,0.0,0.19881912077189273,0.3832479306269915,0.1591818605840482,82
CD14_Mono,0.0,0.1970477303352722,0.39631902407492703,0.23172322282615374,87
CD16_Mono,0.0,0.18391717964247245,0.3395255031607802,0.17860662461126595,87
CD4_Memory_T_cell,0.0,0.19324237686057993,0.4048493466403001,0.15927589006011333,84
CD4_Naive_T_cell,0.0,0.20794065747850562,0.4119343039414799,0.1747728012714871,83
CD4_T_cell,0.0,0.20410428243161466,0.4166390497799115,0.16705284558607447,82
CD8_Memory_T_cell,0.0,0.18878437370530723,0.3808855528307916,0.15142189190742647,85
CD8_Naive_T_cell,0.0,0.20733526338706706,0.37544426083170146,0.16119044355976844,86
CD8_T_cell,0.0,0.2045715414767474,0.4058411435661016,0.1647789930459979,85
Granulocyte,0.0,0.12616756973299587,0.0469986956761947,0.05798698178886864,26
HSPC,0.0,0.21096137536466888,0.1429095927210819,0.0866509475303051,81
ILC,0.0,0.07645710151823312,0.01966622184709289,0.02310133513543824,9
Intermediate_B_cell,0.0,0.18994115039587883,0.3153215351968981,0.1353713847350341,87
MAIT,0.0,0.18131764543516984,0.289904902216147,0.1255240824676128,87
Mono,0.0,0.19340854316882378,0.40015646405980143,0.22715211876206562,87
NK,0.0,0.16981332518091843,0.35738072078578215,0.14268290523024654,85
NKT,0.0,0.19229047277266273,0.25345276686757784,0.14051972985317746,87
NK_CD56hi,0.0,0.15463544917448216,0.22281447506294702,0.10844181195403478,86
NK_CD56low,0.0,0.1822960446284666,0.35857700262113,0.15083275937795113,85
Naive_B_cell,0.0,0.193743813738815,0.36747485970971727,0.16797544750512827,83
Plasmablast,0.0,0.28089368030065937,0.04678232468094634,0.10542223420879762,15
Treg,0.0,0.21336759986350531,0.27678807434425273,0.13958401833978087,87
cDC,0.0,0.24731862266844787,0.3090992230618678,0.19903175575927276,87
pDC,0.0,0.1880976986028703,0.12271831824129137,0.07105757714491301,57
