n_train_donors,seed,eval_donor,metric,scgpt_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes,fit_sec
8,0,D364,pearson_delta,0.2486,cell-mean,0.2399,0.0087,,9600,484,600,50,265.1
8,0,D364,e_distance,5.0863,donor-shift,5.0887,0.0024,,9600,484,600,50,265.1
8,0,D364,aucell_delta_score,-0.0157,donor-shift,-0.0157,0.0,,9600,484,600,50,265.1
8,0,D424,pearson_delta,-0.0326,donor-shift,-0.0742,0.0416,,9600,300,600,50,261.8
8,0,D424,e_distance,5.5385,donor-shift,5.3718,-0.1667,,9600,300,600,50,261.8
8,0,D424,aucell_delta_score,-0.0196,donor-shift,-0.0196,0.0,,9600,300,600,50,261.8
8,0,D454,pearson_delta,0.5479,cell-mean,0.5766,-0.0287,,9600,300,300,50,256.4
8,0,D454,e_distance,5.8989,donor-shift,5.8179,-0.0811,,9600,300,300,50,256.4
8,0,D454,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,9600,300,300,50,256.4
16,0,D364,pearson_delta,0.2731,cell-mean,0.2945,-0.0214,,17938,484,600,60,412.0
16,0,D364,e_distance,5.4456,donor-shift,5.4032,-0.0424,,17938,484,600,60,412.0
16,0,D364,aucell_delta_score,-0.0157,donor-shift,-0.0404,0.0248,,17938,484,600,60,412.0
16,0,D424,pearson_delta,-0.0347,donor-shift,0.2665,-0.3012,,17938,300,600,60,406.1
16,0,D424,e_distance,5.6528,donor-shift,5.209,-0.4439,,17938,300,600,60,406.1
16,0,D424,aucell_delta_score,-0.0196,donor-shift,-0.0196,0.0,,17938,300,600,60,406.1
16,0,D454,pearson_delta,0.58,cell-mean,0.5647,0.0153,,17938,300,300,60,411.2
16,0,D454,e_distance,5.7345,donor-shift,5.7432,0.0087,,17938,300,300,60,411.2
16,0,D454,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,17938,300,300,60,411.2
32,0,D364,pearson_delta,0.275,cell-mean,0.283,-0.008,,37362,484,600,50,408.4
32,0,D364,e_distance,5.224,donor-shift,5.1477,-0.0762,,37362,484,600,50,408.4
32,0,D364,aucell_delta_score,-0.0157,donor-shift,-0.0157,0.0,,37362,484,600,50,408.4
32,0,D424,pearson_delta,0.0761,donor-shift,0.1419,-0.0657,,37362,300,600,50,455.6
32,0,D424,e_distance,5.8068,donor-shift,5.3403,-0.4664,,37362,300,600,50,455.6
32,0,D424,aucell_delta_score,-0.0196,donor-shift,-0.0196,0.0,,37362,300,600,50,455.6
32,0,D454,pearson_delta,0.5217,cell-mean,0.5306,-0.0089,,37362,300,300,50,445.1
32,0,D454,e_distance,5.7944,donor-shift,5.7531,-0.0413,,37362,300,300,50,445.1
32,0,D454,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,37362,300,300,50,445.1
64,0,D364,pearson_delta,0.27,cell-mean,0.2679,0.0022,,73368,484,600,50,402.8
64,0,D364,e_distance,5.473,donor-shift,5.3679,-0.1052,,73368,484,600,50,402.8
64,0,D364,aucell_delta_score,-0.0157,cell-mean,-0.0157,0.0,,73368,484,600,50,402.8
64,0,D424,pearson_delta,-0.0196,donor-shift,0.227,-0.2466,,73368,300,600,50,396.4
64,0,D424,e_distance,5.6192,donor-shift,5.142,-0.4773,,73368,300,600,50,396.4
64,0,D424,aucell_delta_score,-0.0196,cell-mean,-0.0196,0.0,,73368,300,600,50,396.4
64,0,D454,pearson_delta,0.5447,cell-mean,0.5508,-0.0061,,73368,300,300,50,411.7
64,0,D454,e_distance,5.6941,donor-shift,5.6721,-0.022,,73368,300,300,50,411.7
64,0,D454,aucell_delta_score,-0.0223,cell-mean,-0.0223,0.0,,73368,300,300,50,411.7
96,0,D364,pearson_delta,0.2265,cell-mean,0.2365,-0.0101,,110147,484,600,74,430.0
96,0,D364,e_distance,5.3911,donor-shift,5.3297,-0.0613,,110147,484,600,74,430.0
96,0,D364,aucell_delta_score,-0.0157,donor-shift,-0.0157,0.0,,110147,484,600,74,430.0
96,0,D424,pearson_delta,-0.0163,donor-shift,0.269,-0.2853,,110147,300,600,74,587.3
96,0,D424,e_distance,5.6467,donor-shift,5.2996,-0.347,,110147,300,600,74,587.3
96,0,D424,aucell_delta_score,-0.0196,donor-shift,-0.0196,0.0,,110147,300,600,74,587.3
96,0,D454,pearson_delta,0.5451,cell-mean,0.5605,-0.0154,,110147,300,300,74,531.7
96,0,D454,e_distance,5.8093,donor-shift,5.7724,-0.0369,,110147,300,300,74,531.7
96,0,D454,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,110147,300,300,74,531.7
