celltype,cytokine,method,pearson,n_nonzero,n_train,n_universe,neighbor,neighbor_sim,fallback
B_cell,4-1BBL,zero,0.0,8,86,3081,,,
B_cell,4-1BBL,cytokine-mean,0.09133088790606936,8,86,3081,,,
B_cell,4-1BBL,DE-profile-nearest,0.2465920132985602,8,86,3081,IL-8,0.26282119159003553,
B_cell,4-1BBL,feature-nearest,-0.0011650736161371432,8,86,3081,CD27L,1.0,False
B_cell,ADSF,zero,0.0,15,86,3081,,,
B_cell,ADSF,cytokine-mean,0.06144577355113478,15,86,3081,,,
B_cell,ADSF,DE-profile-nearest,0.2666816588343924,15,86,3081,IL-31,0.3691850158894146,
B_cell,ADSF,feature-nearest,0.06144577355113478,15,86,3081,<fallback:cyto-mean>,0.0,True
B_cell,APRIL,zero,0.0,31,86,3081,,,
B_cell,APRIL,cytokine-mean,0.1445200341727056,31,86,3081,,,
B_cell,APRIL,DE-profile-nearest,0.3867455504422059,31,86,3081,IL-31,0.5077094008274727,
B_cell,APRIL,feature-nearest,0.1405500382838854,31,86,3081,BAFF,1.0,False
B_cell,BAFF,zero,0.0,97,86,3081,,,
B_cell,BAFF,cytokine-mean,0.24741965990101256,97,86,3081,,,
B_cell,BAFF,DE-profile-nearest,0.20863375506549928,97,86,3081,IL-20,0.46213781552944905,
B_cell,BAFF,feature-nearest,0.1405500382838854,97,86,3081,APRIL,1.0,False
B_cell,C5a,zero,0.0,40,86,3081,,,
B_cell,C5a,cytokine-mean,0.24558358744318665,40,86,3081,,,
B_cell,C5a,DE-profile-nearest,0.03464145371463778,40,86,3081,M-CSF,0.3821193169834867,
B_cell,C5a,feature-nearest,0.24878028378240838,40,86,3081,IL-1-alpha,0.16666666666666666,False
B_cell,CD27L,zero,0.0,16,86,3081,,,
B_cell,CD27L,cytokine-mean,0.20443788685270375,16,86,3081,,,
B_cell,CD27L,DE-profile-nearest,0.5694280042962664,16,86,3081,CT-1,0.608996589135585,
B_cell,CD27L,feature-nearest,-0.0011650736161371432,16,86,3081,4-1BBL,1.0,False
B_cell,CD30L,zero,0.0,37,86,3081,,,
B_cell,CD30L,cytokine-mean,0.27054461207475483,37,86,3081,,,
B_cell,CD30L,DE-profile-nearest,0.5193454055109586,37,86,3081,IL-20,0.6131726742894559,
B_cell,CD30L,feature-nearest,0.08865944072015235,37,86,3081,4-1BBL,1.0,False
B_cell,CD40L,zero,0.0,328,86,3081,,,
B_cell,CD40L,cytokine-mean,0.3131749662817211,328,86,3081,,,
B_cell,CD40L,DE-profile-nearest,0.10350523643030271,328,86,3081,FLT3L,0.4555007662290532,
B_cell,CD40L,feature-nearest,0.030435230208773638,328,86,3081,4-1BBL,1.0,False
B_cell,CT-1,zero,0.0,26,86,3081,,,
B_cell,CT-1,cytokine-mean,0.23810254975211073,26,86,3081,,,
B_cell,CT-1,DE-profile-nearest,0.5323748098778485,26,86,3081,IL-36Ra,0.6467678212224159,
B_cell,CT-1,feature-nearest,-0.0016210968317423439,26,86,3081,LIF,1.0,False
B_cell,Decorin,zero,0.0,31,86,3081,,,
B_cell,Decorin,cytokine-mean,0.0891416479090334,31,86,3081,,,
B_cell,Decorin,DE-profile-nearest,0.43225277431143055,31,86,3081,TRAIL,0.3715210742133123,
B_cell,Decorin,feature-nearest,0.06744421153983061,31,86,3081,Noggin,1.0,False
B_cell,EGF,zero,0.0,36,86,3081,,,
B_cell,EGF,cytokine-mean,0.14270429337441692,36,86,3081,,,
B_cell,EGF,DE-profile-nearest,0.2926784451220579,36,86,3081,IFN-epsilon,0.3995659828084544,
B_cell,EGF,feature-nearest,0.03646529776901742,36,86,3081,FGF-beta,1.0,False
B_cell,EPO,zero,0.0,8,86,3081,,,
B_cell,EPO,cytokine-mean,0.053894402286989426,8,86,3081,,,
B_cell,EPO,DE-profile-nearest,0.216044413891218,8,86,3081,OSM,0.26890515869317244,
B_cell,EPO,feature-nearest,-0.0002636904075148958,8,86,3081,TPO,1.0,False
B_cell,FGF-beta,zero,0.0,68,86,3081,,,
B_cell,FGF-beta,cytokine-mean,0.18553203395338805,68,86,3081,,,
B_cell,FGF-beta,DE-profile-nearest,0.29585647923533687,68,86,3081,Noggin,0.43668863036599115,
B_cell,FGF-beta,feature-nearest,0.03646529776901742,68,86,3081,EGF,1.0,False
B_cell,FasL,zero,0.0,5,86,3081,,,
B_cell,FasL,cytokine-mean,0.24011260157605305,5,86,3081,,,
B_cell,FasL,DE-profile-nearest,0.5672437366098227,5,86,3081,IFN-lambda2,0.5124716595877115,
B_cell,FasL,feature-nearest,0.00012926328176915492,5,86,3081,LIGHT,1.0,False
B_cell,G-CSF,zero,0.0,54,86,3081,,,
B_cell,G-CSF,cytokine-mean,0.13062661194789252,54,86,3081,,,
B_cell,G-CSF,DE-profile-nearest,0.3536897056009091,54,86,3081,FLT3L,0.4699076013628682,
B_cell,G-CSF,feature-nearest,0.012287443024890666,54,86,3081,GM-CSF,0.6,False
B_cell,GITRL,zero,0.0,23,86,3081,,,
B_cell,GITRL,cytokine-mean,0.13570313649323038,23,86,3081,,,
B_cell,GITRL,DE-profile-nearest,0.26016579020391195,23,86,3081,IL-16,0.277574324483431,
B_cell,GITRL,feature-nearest,-0.0018006721903330173,23,86,3081,4-1BBL,1.0,False
B_cell,GM-CSF,zero,0.0,138,86,3081,,,
B_cell,GM-CSF,cytokine-mean,0.40477216351114176,138,86,3081,,,
B_cell,GM-CSF,DE-profile-nearest,0.27661182772339366,138,86,3081,IL-3,0.5420774936120948,
B_cell,GM-CSF,feature-nearest,0.27661182772339366,138,86,3081,IL-3,0.8333333333333334,False
B_cell,HGF,zero,0.0,6,86,3081,,,
B_cell,HGF,cytokine-mean,0.18526317509935475,6,86,3081,,,
B_cell,HGF,DE-profile-nearest,0.5233635681172724,6,86,3081,SCF,0.48088544600661565,
B_cell,HGF,feature-nearest,0.00010152132461179394,6,86,3081,EGF,1.0,False
B_cell,IFN-alpha1,zero,0.0,177,86,3081,,,
B_cell,IFN-alpha1,cytokine-mean,0.4385818778764391,177,86,3081,,,
B_cell,IFN-alpha1,DE-profile-nearest,0.4579345291658369,177,86,3081,IFN-omega,0.6347188273947637,
B_cell,IFN-alpha1,feature-nearest,0.42823255512701974,177,86,3081,IFN-beta,1.0,False
B_cell,IFN-beta,zero,0.0,1271,86,3081,,,
B_cell,IFN-beta,cytokine-mean,0.5567271060771201,1271,86,3081,,,
B_cell,IFN-beta,DE-profile-nearest,0.8644787539537173,1271,86,3081,IFN-omega,0.9342604260113994,
B_cell,IFN-beta,feature-nearest,0.42823255512701974,1271,86,3081,IFN-alpha1,1.0,False
B_cell,IFN-epsilon,zero,0.0,54,86,3081,,,
B_cell,IFN-epsilon,cytokine-mean,0.30342501186985293,54,86,3081,,,
B_cell,IFN-epsilon,DE-profile-nearest,0.4408095385278203,54,86,3081,CD30L,0.5377275753849684,
B_cell,IFN-epsilon,feature-nearest,0.18509063547228682,54,86,3081,IFN-alpha1,1.0,False
B_cell,IFN-gamma,zero,0.0,346,86,3081,,,
B_cell,IFN-gamma,cytokine-mean,0.572753155063757,346,86,3081,,,
B_cell,IFN-gamma,DE-profile-nearest,0.6107494279596904,346,86,3081,IFN-beta,0.7973843799658091,
B_cell,IFN-gamma,feature-nearest,0.4785036578309779,346,86,3081,IFN-alpha1,0.2857142857142857,False
B_cell,IFN-lambda1,zero,0.0,69,86,3081,,,
B_cell,IFN-lambda1,cytokine-mean,0.2755129047289128,69,86,3081,,,
B_cell,IFN-lambda1,DE-profile-nearest,0.33178257917362136,69,86,3081,IL-19,0.52732060939166,
B_cell,IFN-lambda1,feature-nearest,0.12309691530838895,69,86,3081,IFN-lambda2,1.0,False
B_cell,IFN-lambda2,zero,0.0,19,86,3081,,,
B_cell,IFN-lambda2,cytokine-mean,0.19876461183380398,19,86,3081,,,
B_cell,IFN-lambda2,DE-profile-nearest,0.5672437366098227,19,86,3081,FasL,0.5124716595877115,
B_cell,IFN-lambda2,feature-nearest,0.12309691530838895,19,86,3081,IFN-lambda1,1.0,False
B_cell,IFN-lambda3,zero,0.0,225,86,3081,,,
B_cell,IFN-lambda3,cytokine-mean,0.3118051065088635,225,86,3081,,,
B_cell,IFN-lambda3,DE-profile-nearest,0.31924402141283503,225,86,3081,Noggin,0.47406952392453217,
B_cell,IFN-lambda3,feature-nearest,0.293421056038844,225,86,3081,IFN-lambda1,1.0,False
B_cell,IFN-omega,zero,0.0,992,86,3081,,,
B_cell,IFN-omega,cytokine-mean,0.634418663703795,992,86,3081,,,
B_cell,IFN-omega,DE-profile-nearest,0.8644787539537172,992,86,3081,IFN-beta,0.9342604260113992,
B_cell,IFN-omega,feature-nearest,0.4579345291658369,992,86,3081,IFN-alpha1,1.0,False
B_cell,IGF-1,zero,0.0,62,86,3081,,,
B_cell,IGF-1,cytokine-mean,0.05456642168460963,62,86,3081,,,
B_cell,IGF-1,DE-profile-nearest,0.5366448626348455,62,86,3081,IL-31,0.5266343937497692,
