n_train_donors,seed,eval_donor,metric,scgpt_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes,fit_sec
8,0,D397,pearson_delta,0.2501,cell-mean,0.2133,0.0368,,9600,600,600,50,263.3
8,0,D397,e_distance,5.122,cell-mean,5.1888,0.0667,,9600,600,600,50,263.3
8,0,D397,aucell_delta_score,-0.0244,donor-shift,-0.0244,0.0,,9600,600,600,50,263.3
8,0,D429,pearson_delta,0.1631,cell-mean,0.1946,-0.0316,,9600,600,600,50,248.8
8,0,D429,e_distance,5.602,donor-shift,5.5427,-0.0593,,9600,600,600,50,248.8
8,0,D429,aucell_delta_score,-0.0355,cell-mean,-0.0432,0.0078,,9600,600,600,50,248.8
8,0,D483,pearson_delta,0.25,cell-mean,0.2478,0.0022,,9600,600,600,50,247.2
8,0,D483,e_distance,5.1773,cell-mean,5.2014,0.024,,9600,600,600,50,247.2
8,0,D483,aucell_delta_score,-0.036,cell-mean,-0.042,0.006,,9600,600,600,50,247.2
16,0,D397,pearson_delta,0.2985,cell-mean,0.3157,-0.0172,,17938,600,600,60,430.4
16,0,D397,e_distance,5.1585,cell-mean,5.124,-0.0345,,17938,600,600,60,430.4
16,0,D397,aucell_delta_score,-0.0244,cell-mean,-0.0377,0.0133,,17938,600,600,60,430.4
16,0,D429,pearson_delta,0.1536,cell-mean,0.1292,0.0244,,17938,600,600,60,414.2
16,0,D429,e_distance,5.5884,donor-shift,5.6242,0.0358,,17938,600,600,60,414.2
16,0,D429,aucell_delta_score,-0.0179,donor-shift,-0.0355,0.0175,,17938,600,600,60,414.2
16,0,D483,pearson_delta,0.3083,cell-mean,0.3053,0.003,,17938,600,600,60,417.9
16,0,D483,e_distance,5.1781,cell-mean,5.1676,-0.0105,,17938,600,600,60,417.9
16,0,D483,aucell_delta_score,-0.0229,cell-mean,-0.0461,0.0232,,17938,600,600,60,417.9
32,0,D397,pearson_delta,0.2599,cell-mean,0.2588,0.0011,,37362,600,600,50,403.8
32,0,D397,e_distance,5.2173,cell-mean,5.223,0.0057,,37362,600,600,50,403.8
32,0,D397,aucell_delta_score,-0.0244,donor-shift,-0.0244,0.0,,37362,600,600,50,403.8
32,0,D429,pearson_delta,0.1539,cell-mean,0.1509,0.003,,37362,600,600,50,427.9
32,0,D429,e_distance,5.6157,donor-shift,5.5995,-0.0162,,37362,600,600,50,427.9
32,0,D429,aucell_delta_score,-0.0175,donor-shift,-0.0175,0.0,,37362,600,600,50,427.9
32,0,D483,pearson_delta,0.2591,cell-mean,0.2623,-0.0033,,37362,600,600,50,425.0
32,0,D483,e_distance,5.2207,cell-mean,5.219,-0.0017,,37362,600,600,50,425.0
32,0,D483,aucell_delta_score,-0.0208,cell-mean,-0.0492,0.0283,,37362,600,600,50,425.0
64,0,D397,pearson_delta,0.2512,cell-mean,0.2693,-0.0181,,73368,600,600,50,420.3
64,0,D397,e_distance,5.1659,cell-mean,5.125,-0.0409,,73368,600,600,50,420.3
64,0,D397,aucell_delta_score,-0.0244,cell-mean,-0.0244,0.0,,73368,600,600,50,420.3
64,0,D429,pearson_delta,0.1667,cell-mean,0.1626,0.004,,73368,600,600,50,418.7
64,0,D429,e_distance,5.466,donor-shift,5.455,-0.011,,73368,600,600,50,418.7
64,0,D429,aucell_delta_score,-0.0175,cell-mean,-0.0175,0.0,,73368,600,600,50,418.7
64,0,D483,pearson_delta,0.2805,cell-mean,0.2873,-0.0069,,73368,600,600,50,408.9
64,0,D483,e_distance,5.1191,cell-mean,5.0869,-0.0322,,73368,600,600,50,408.9
64,0,D483,aucell_delta_score,-0.0208,cell-mean,-0.0208,0.0,,73368,600,600,50,408.9
96,0,D397,pearson_delta,0.2766,cell-mean,0.2951,-0.0185,,110147,600,600,74,439.9
96,0,D397,e_distance,5.175,cell-mean,5.1722,-0.0028,,110147,600,600,74,439.9
96,0,D397,aucell_delta_score,-0.0244,donor-shift,-0.0244,0.0,,110147,600,600,74,439.9
96,0,D429,pearson_delta,0.146,cell-mean,0.141,0.005,,110147,600,600,74,562.2
96,0,D429,e_distance,5.5177,donor-shift,5.5183,0.0007,,110147,600,600,74,562.2
96,0,D429,aucell_delta_score,-0.0311,donor-shift,-0.0355,0.0044,,110147,600,600,74,562.2
96,0,D483,pearson_delta,0.2725,cell-mean,0.2728,-0.0004,,110147,600,600,74,518.5
96,0,D483,e_distance,5.1142,cell-mean,5.1171,0.003,,110147,600,600,74,518.5
96,0,D483,aucell_delta_score,-0.036,cell-mean,-0.0887,0.0526,,110147,600,600,74,518.5
