n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
8,1,D353,pearson_delta,0.4825,cell-mean,0.2058,0.2768,0.03,8860,583,600,50
8,1,D353,e_distance,0.6158,donor-shift,6.3528,5.7369,0.03,8860,583,600,50
8,1,D353,aucell_delta_score,-0.0191,donor-shift,-0.2163,0.1972,0.03,8860,583,600,50
8,1,D364,pearson_delta,0.472,cell-mean,0.2133,0.2588,0.03,8860,484,600,50
8,1,D364,e_distance,0.4955,donor-shift,5.4413,4.9458,0.03,8860,484,600,50
8,1,D364,aucell_delta_score,-0.0195,donor-shift,-0.0907,0.0712,0.03,8860,484,600,50
8,1,D397,pearson_delta,0.4532,cell-mean,0.2231,0.2301,0.03,8860,600,600,50
8,1,D397,e_distance,0.5478,cell-mean,5.0911,4.5433,0.03,8860,600,600,50
8,1,D397,aucell_delta_score,-0.0204,donor-shift,-0.1116,0.0912,0.03,8860,600,600,50
8,1,D411,pearson_delta,0.3511,cell-mean,0.0751,0.276,0.03,8860,600,600,50
8,1,D411,e_distance,0.5925,donor-shift,4.7541,4.1616,0.03,8860,600,600,50
8,1,D411,aucell_delta_score,-0.012,donor-shift,-0.1619,0.1499,0.03,8860,600,600,50
8,1,D424,pearson_delta,0.3292,cell-mean,-0.1047,0.4339,0.03,8860,300,600,50
8,1,D424,e_distance,0.7503,donor-shift,5.1658,4.4155,0.03,8860,300,600,50
8,1,D424,aucell_delta_score,-0.0174,donor-shift,-0.0763,0.0589,0.03,8860,300,600,50
8,1,D429,pearson_delta,0.41,cell-mean,0.1599,0.2501,0.03,8860,600,600,50
8,1,D429,e_distance,0.7251,donor-shift,5.4858,4.7607,0.03,8860,600,600,50
8,1,D429,aucell_delta_score,-0.0182,donor-shift,-0.1823,0.1641,0.03,8860,600,600,50
8,1,D431,pearson_delta,0.4253,cell-mean,0.2549,0.1704,0.03,8860,600,600,50
8,1,D431,e_distance,0.615,cell-mean,5.5103,4.8953,0.03,8860,600,600,50
8,1,D431,aucell_delta_score,-0.0159,donor-shift,-0.183,0.1672,0.03,8860,600,600,50
8,1,D454,pearson_delta,0.4389,cell-mean,0.5328,-0.0939,0.03,8860,300,300,50
8,1,D454,e_distance,0.3476,donor-shift,5.5767,5.2291,0.03,8860,300,300,50
8,1,D454,aucell_delta_score,-0.0109,donor-shift,-0.0223,0.0114,0.03,8860,300,300,50
8,1,D483,pearson_delta,0.454,cell-mean,0.2038,0.2502,0.03,8860,600,600,50
8,1,D483,e_distance,0.4349,cell-mean,5.1217,4.6868,0.03,8860,600,600,50
8,1,D483,aucell_delta_score,-0.0203,donor-shift,-0.1867,0.1665,0.03,8860,600,600,50
8,1,D484,pearson_delta,0.5223,cell-mean,0.2028,0.3195,0.03,8860,600,600,50
8,1,D484,e_distance,0.5342,cell-mean,5.3696,4.8354,0.03,8860,600,600,50
8,1,D484,aucell_delta_score,-0.0187,donor-shift,-0.0913,0.0727,0.03,8860,600,600,50
16,1,D353,pearson_delta,0.5142,cell-mean,0.2401,0.2741,0.03025,18762,583,600,50
16,1,D353,e_distance,0.4738,donor-shift,6.3227,5.8489,0.03025,18762,583,600,50
16,1,D353,aucell_delta_score,-0.0126,cell-mean,-0.0201,0.0076,0.03025,18762,583,600,50
16,1,D364,pearson_delta,0.3913,cell-mean,0.1972,0.194,0.03025,18762,484,600,50
16,1,D364,e_distance,0.5085,donor-shift,5.2593,4.7508,0.03025,18762,484,600,50
16,1,D364,aucell_delta_score,-0.0115,cell-mean,-0.0148,0.0033,0.03025,18762,484,600,50
16,1,D397,pearson_delta,0.4809,cell-mean,0.2642,0.2167,0.03025,18762,600,600,50
16,1,D397,e_distance,0.5144,donor-shift,5.1565,4.6422,0.03025,18762,600,600,50
16,1,D397,aucell_delta_score,-0.0165,cell-mean,-0.023,0.0065,0.03025,18762,600,600,50
16,1,D411,pearson_delta,0.3302,cell-mean,0.078,0.2522,0.03025,18762,600,600,50
16,1,D411,e_distance,0.721,donor-shift,4.855,4.134,0.03025,18762,600,600,50
16,1,D411,aucell_delta_score,-0.0118,cell-mean,-0.0166,0.0048,0.03025,18762,600,600,50
16,1,D424,pearson_delta,0.2987,donor-shift,-0.0882,0.3869,0.03025,18762,300,600,50
16,1,D424,e_distance,0.6109,donor-shift,5.2043,4.5934,0.03025,18762,300,600,50
16,1,D424,aucell_delta_score,-0.0164,donor-shift,-0.0196,0.0032,0.03025,18762,300,600,50
16,1,D429,pearson_delta,0.4832,cell-mean,0.1896,0.2937,0.03025,18762,600,600,50
16,1,D429,e_distance,0.4703,donor-shift,5.42,4.9497,0.03025,18762,600,600,50
16,1,D429,aucell_delta_score,-0.0098,cell-mean,-0.0142,0.0044,0.03025,18762,600,600,50
16,1,D431,pearson_delta,0.4456,cell-mean,0.2821,0.1635,0.03025,18762,600,600,50
16,1,D431,e_distance,0.4713,cell-mean,5.4893,5.018,0.03025,18762,600,600,50
16,1,D431,aucell_delta_score,-0.0113,cell-mean,-0.013,0.0017,0.03025,18762,600,600,50
16,1,D454,pearson_delta,0.4965,cell-mean,0.517,-0.0205,0.03025,18762,300,300,50
16,1,D454,e_distance,0.2888,cell-mean,5.7419,5.4531,0.03025,18762,300,300,50
16,1,D454,aucell_delta_score,-0.012,cell-mean,-0.0202,0.0082,0.03025,18762,300,300,50
16,1,D483,pearson_delta,0.4976,cell-mean,0.2169,0.2808,0.03025,18762,600,600,50
16,1,D483,e_distance,0.4142,cell-mean,5.1549,4.7407,0.03025,18762,600,600,50
16,1,D483,aucell_delta_score,-0.0123,cell-mean,-0.019,0.0066,0.03025,18762,600,600,50
16,1,D484,pearson_delta,0.5514,cell-mean,0.2253,0.3261,0.03025,18762,600,600,50
16,1,D484,e_distance,0.5339,cell-mean,5.4638,4.9299,0.03025,18762,600,600,50
16,1,D484,aucell_delta_score,-0.0147,cell-mean,-0.0186,0.0039,0.03025,18762,600,600,50
32,1,D353,pearson_delta,0.4869,cell-mean,0.263,0.2239,0.03038,36865,583,600,50
32,1,D353,e_distance,0.5958,donor-shift,6.5447,5.949,0.03038,36865,583,600,50
32,1,D353,aucell_delta_score,-0.0197,donor-shift,-0.0623,0.0425,0.03038,36865,583,600,50
