Panel,Genes (n),Gene symbols,Checked on,Dataset,Measured / listed,Contrast,Observed Δ,z,Scope
effector_cytokine,11,"IFNG, TNF, GZMB, GZMA, PRF1, NKG7, GNLY, CCL5, CCL4, FASLG, TBX21",T3,shifrut,7 / 11,CRISPR KO vs control,−0.007,−1.500,descriptive only; cells are not independent biological replicates
effector_lymphocyte,17,"IFNG, GZMB, GZMA, GZMK, PRF1, NKG7, GNLY, KLRD1, CCL5, CST7, TBX21, FASLG, CD69, IL2RA, TNFRSF9, CCL4, CCL3",T5,op3,11 / 17,compound vs control,−0.047,−2.000,descriptive only; cells are not independent biological replicates
IL2_STAT5,11,"IL2RA, IL2RB, IL2RG, STAT5A, STAT5B, CISH, SOCS1, SOCS3, BCL2, MYC, IL2",T2,soskic,3 / 11,16 h activation vs 0 h resting,−0.009,−1.200,descriptive only; cells are not independent biological replicates
IL2_STAT5,11,"IL2RA, IL2RB, IL2RG, STAT5A, STAT5B, CISH, SOCS1, SOCS3, BCL2, MYC, IL2",T3,shifrut,4 / 11,CRISPR KO vs control,+0.009,+1.300,descriptive only; cells are not independent biological replicates
inflammatory_NFkB,22,"NFKBIA, NFKB1, NFKB2, REL, RELB, TNFAIP3, TNF, IL1B, CXCL8, CCL2, CCL20, CXCL2, CXCL3, PTGS2, NFKBIE, BIRC3, TNFAIP2, CD83, IER3, SOD2, NFKBID, TNFAIP1",T5,op3,7 / 22,compound vs control,−0.020,−0.200,descriptive only; cells are not independent biological replicates
proliferation,11,"MKI67, TOP2A, PCNA, CCNB1, CCNB2, CDK1, BIRC5, TYMS, CENPF, UBE2C, STMN1",T3,shifrut,8 / 11,CRISPR KO vs control,+0.009,+1.800,descriptive only; cells are not independent biological replicates
T_cell_activation,14,"CD69, IL2RA, CD40LG, TNFRSF9, NR4A1, NR4A2, NR4A3, EGR1, EGR2, IRF4, REL, NFKBIA, CD28, TNFRSF4",T2,soskic,4 / 14,16 h activation vs 0 h resting,−0.012,−1.800,descriptive only; cells are not independent biological replicates
tcell_activation,56,"BCL2, BIRC5, CCL4, CCL5, CCNB1, CCNB2, CD28, CD40LG, CD69, CDK1, CENPF, CISH, CTLA4, EGR1, EGR2, ENTPD1, FASLG, FOXP3, GNLY, GZMA, GZMB, HAVCR2, IFNG, IKZF2, IL10, IL2, IL2RA, IL2RB, IL2RG, IRF4, LAG3, MKI67, MYC, NFKBIA, NKG7, NR4A1, NR4A2, NR4A3, PCNA, PDCD1, PRF1, REL, SOCS1, SOCS3, STAT5A, STAT5B, STMN1, TBX21, TIGIT, TNF, TNFRSF18, TNFRSF4, TNFRSF9, TOP2A, TYMS, UBE2C",not checked,n.a.,n.a.,n.a.,n.a.,n.a.,"manually curated marker list; no observed-panel check was run for this panel, which is scored only where the task design uses it"
TCR_activation,14,"CD69, IL2RA, CD40LG, TNFRSF9, NR4A1, NR4A2, NR4A3, EGR1, EGR2, IRF4, REL, NFKBIA, CD28, TNFRSF4",T3,shifrut,4 / 14,CRISPR KO vs control,+0.008,+1.000,descriptive only; cells are not independent biological replicates
Treg_exhaustion,11,"FOXP3, IKZF2, CTLA4, TIGIT, IL10, PDCD1, LAG3, HAVCR2, TNFRSF18, ENTPD1, IL2RA",T3,shifrut,5 / 11,CRISPR KO vs control,+0.007,+1.000,descriptive only; cells are not independent biological replicates
type_I_IFN,25,"ISG15, IFI6, MX1, MX2, OAS1, OAS2, OAS3, OASL, IFIT1, IFIT2, IFIT3, IFITM1, IFITM3, ISG20, IRF7, STAT1, STAT2, RSAD2, USP18, IFI44, IFI44L, BST2, XAF1, HERC5, LY6E",T2,soskic,3 / 25,16 h activation vs 0 h resting,+0.009,+1.400,descriptive only; cells are not independent biological replicates
type_I_IFN,25,"ISG15, IFI6, MX1, MX2, OAS1, OAS2, OAS3, OASL, IFIT1, IFIT2, IFIT3, IFITM1, IFITM3, ISG20, IRF7, STAT1, STAT2, RSAD2, USP18, IFI44, IFI44L, BST2, XAF1, HERC5, LY6E",T5,op3,20 / 25,compound vs control,−0.062,−4.200,descriptive only; cells are not independent biological replicates
type_i_ifn_C1,15,"ISG15, IFI6, MX1, MX2, OAS1, OAS2, IFIT1, IFIT3, ISG20, STAT1, IRF7, IFI44, IFI44L, RSAD2, USP18",T1,kang,14 / 15,IFN-beta vs control,+1.929,+21.700,descriptive only; cells are not independent biological replicates
type_II_IFN,15,"IFNG, STAT1, IRF1, CXCL9, CXCL10, CXCL11, GBP1, GBP2, GBP5, TAP1, PSMB8, PSMB9, HLA-DRA, HLA-DRB1, SOCS1",T2,soskic,5 / 15,16 h activation vs 0 h resting,−0.004,−0.600,descriptive only; cells are not independent biological replicates
