cluster,dataset,modality,split,baseline,family,action,headline_eligible,registry_task,pearson_delta,pearson_delta_ontarget,e_distance,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,ran
C3,chen,KO,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.1036366025506473,0.10359541281075692,7.53592935215535,0.10954882901001893,0.0696328921673813,0.0947982035087625,,,0.16421539135391297,True
C3,chen,KO,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.11550907028122605,0.11620145792331009,7.560398371889906,0.09391468422046467,-0.02944737216942673,-0.010125118461135665,,,0.3213165432919564,True
C3,chen,KO,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.10840078229482077,0.10773374565313616,7.547757123432415,0.011517677592538793,-0.04835814213982218,0.0811140924227908,,,0.00179708249464776,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.18280850210198174,0.1828326236060583,7.615650253934348,,,,,,,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.12295059626771099,0.12291403079750142,7.76939216919489,,,,,,,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.10795304792043804,0.10872042899088515,7.793851197887419,,,,,,,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.054659919247236136,0.054686918907755094,7.639239662697692,,,,,,,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.028819271251098667,0.028766256095077086,8.214425030834468,,,,,,,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.04490279476999112,0.04421098641414772,7.874549637404041,,,,,,,True
C3,schmidt,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.3078842198364106,0.2816790644794308,10.153263192275121,,,,,,,True
C3,schmidt,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.2869556321065701,0.26755932077990713,10.069518165827743,,,,,,,True
C3,schmidt,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.42042491078807354,0.3959148832880891,9.808657008187042,,,,,,,True
C3,shifrut,KO,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.044143137251656916,0.044094969763776415,7.524532016840041,-0.9999999999999998,,,,-0.9999999999999998,,True
C3,shifrut,KO,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.10057974120643118,0.10095402580431379,7.5675269599806825,0.24853059718059756,,,,0.24853059718059756,,True
C3,shifrut,KO,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.08221698890483063,0.08370397356554296,7.46577772918981,-0.16229228487562025,,,,-0.16229228487562025,,True
