cluster,dataset,modality,split,baseline,family,action,headline_eligible,registry_task,pearson_delta,pearson_delta_ontarget,e_distance,aucell_program_corr,aucell::type_I_IFN,aucell::inflammatory_NFkB,aucell::effector_lymphocyte,ran
C5,op3_GSE279945,,C5_global_compound_holdout,CINEMA-OT,ot,run_adapted,False,C5_unseen_cpd,0.17181999296423914,0.17181999296423914,19.598538962451673,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,CPA,latent,run_headline,True,C5_unseen_cpd,0.15869120594912342,0.15869120594912342,19.76996977665768,0.04677395096367116,0.14032185289101348,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,FP-ridge,chemistry,run_headline,True,C5_unseen_cpd,0.16420038796786685,0.16420038796786685,19.64137258995358,0.05202694399441374,0.15608083198324121,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,STATE,hybrid,run_adapted,False,C5_unseen_cpd,-0.0031887858874272623,-0.0031887858874272623,19.985654852010928,-0.10378076018463539,-0.31134228055390617,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,cell-mean,simple,run_floor,False,C5_unseen_cpd,0.17217957843448467,0.17217957843448467,19.613603500067313,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,ctrl-pred,simple,run_floor,False,C5_unseen_cpd,0.002707070748816217,0.002707070748816217,19.88870628426027,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,donor-shift,simple,run_floor,False,C5_unseen_cpd,0.17217957843448467,0.17217957843448467,19.613603500067313,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,linear-PCA,simple,run_floor,False,C5_unseen_cpd,0.14980776662040235,0.14980776662040235,19.61360358985462,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_global_compound_holdout,scGen,latent,run_adapted,False,C5_unseen_cpd,0.08617144662275678,0.08617144662275678,19.92635716892916,-0.010998284656282017,-0.03299485396884605,0.0,0.0,True
C5,op3_GSE279945,,C5_loct_B,CINEMA-OT,ot,run_headline,True,C1_LOCT,0.2729726870286655,0.2729726870286655,7.0855618898394805,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_loct_B,CPA,latent,run_headline,True,C1_LOCT,0.10657506291766929,0.10657506291766929,13.297404705792486,0.24364831315896585,0.7309449394768975,0.0,0.0,True
C5,op3_GSE279945,,C5_loct_B,FP-ridge,chemistry,run_headline,True,C1_LOCT,0.41557679544632314,0.41557679544632314,6.636237268277247,0.2755865038384356,0.8473849100668489,-0.020625398551542076,0.0,True
C5,op3_GSE279945,,C5_loct_B,STATE,hybrid,run_headline,True,C1_LOCT,0.10728319332536958,0.10728319332536958,13.642889814403992,0.198981752072795,0.6966703443309875,0.0,-0.09972508811260256,True
C5,op3_GSE279945,,C5_loct_B,cell-mean,simple,run_headline,True,C1_LOCT,0.07413363786486922,0.07413363786486922,13.843982053890638,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_loct_B,ctrl-pred,simple,run_headline,True,C1_LOCT,-0.02603748004107632,-0.02603748004107632,7.501896591423852,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_loct_B,donor-shift,simple,run_headline,True,C1_LOCT,0.2783795539950225,0.2783795539950225,7.085674888690674,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_loct_B,linear-PCA,simple,run_headline,True,C1_LOCT,0.2997303043578005,0.2997303043578005,7.08567463441411,0.0,0.0,0.0,0.0,True
C5,op3_GSE279945,,C5_loct_B,scGen,latent,run_headline,True,C1_LOCT,0.1257371012714249,0.1257371012714249,9.268766244912499,0.33719243409503874,0.8050052849167514,0.20657201736836484,0.0,True
C5,op3_GSE279945,,C5_loct_Mono,CINEMA-OT,ot,run_headline,True,C1_LOCT,0.18987907103562196,0.18987907103562196,5.6415444387113505,0.0,0.0,0.0,0.0,True
