task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,AttentionPert,native,5,5,2,chen;schmidt,2,True,-0.1735552093724914,-0.4922677620441495,0.1451573432991665,0.0573541118618522,0.0485826777270101,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,Biolord,native,5,5,2,chen;schmidt,2,True,-0.479823409137935,-0.7615244955000166,-0.1981223227758535,0.037964478698478,0.0264039386825595,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,CellFlow,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,GEARS,native,5,5,2,chen;schmidt,2,True,0.1152889244879427,0.0571866952709137,0.1733911537049717,0.043413499083208,0.0362497745260563,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,PertAdapt,native,5,5,2,chen;schmidt,2,True,-0.0703501654355356,-0.4033665591439227,0.2626662282728514,0.2008961776731623,0.1971675099199668,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,PerturbNet,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,STATE,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,cell-mean,floor,5,5,2,chen;schmidt,1,False,,,,0.027344150943454,0.0189710038845155,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,linear-PCA,floor,5,5,2,chen;schmidt,1,False,,,,0.0306094073339355,0.0224817074118791,"{""estimable"": 1, ""numerically_constant_predicted_profile"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,linear-shift-KOemb,diagnostic,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,scFoundation,native,5,5,2,chen;schmidt,1,False,,,,,,"{""estimable"": 1, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,IL2_STAT5,scGPT,native,5,5,2,chen;schmidt,2,True,0.0065297902189307,-0.1461123820577636,0.1591719624956251,0.037844227842711,0.0253328415725802,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T3,full_census_strata,all_measured_original_members,mean_expression_delta,TCR_activation,AttentionPert,native,5,5,2,chen;schmidt,2,True,0.2416711961660281,0.2051035381760531,0.278238854156003,0.0437192306599347,0.038810363064998,"{""estimable"": 2}",common observed-defined units; identical for every candidate
