dataset,gene,AttentionPert,Biolord,CellFlow,GEARS,PertAdapt,PerturbNet,STATE,cell-mean,linear-PCA,scFoundation,scGPT,effect_l2,snr_raw,n_test_cells,global_quartile,within_dataset_half
chen,ABCA13,0.12909573410455796,0.3275185314472453,0.23691585796368222,0.2025879378641773,0.16639284248386083,0.25199189339780376,0.12592939428891203,0.48664598801301445,0.29767294813810974,0.16015735114359045,0.3543316638792836,0.8604661822319031,1.5798583030700684,1106,1,weaker half
chen,ALG1,0.34197105516409493,0.5989501408156975,0.5638233380605542,0.2944742463431763,0.35023815354588095,0.5906041536779998,0.15525666603885635,0.6989773411244262,0.6587225982587762,0.6027296745529005,0.6841278054975696,2.460312604904175,4.036942958831787,1461,4,stronger half
chen,ALKBH5,0.048402180977517764,0.15521179678085578,-0.04389185808868394,0.11948491779222871,0.10176125910834856,0.2649034304551043,0.026515729562692564,0.2893514144893726,0.06784713605786509,-0.009480374832824452,0.16673817926661702,0.965415358543396,1.7614295482635498,1028,1,weaker half
chen,ANKRD17,0.0981966646641787,0.22208334844985161,0.07874134442328061,0.16294783535822532,0.08362195216372573,0.272489653015203,0.04835688197464899,0.400197775620373,0.22974717599550754,0.07623143552830483,0.24608587101027823,1.083640217781067,2.0000486373901367,1294,2,weaker half
chen,BPTF,0.19361147239328114,0.2805393740985966,0.3997904920418577,0.2770175556883004,0.10996035426913967,0.27838202872010576,0.12068962195658176,0.4825802635329886,0.37858587772552693,0.1677130236714976,0.35130854877219464,1.331430435180664,2.4017333984375,894,3,stronger half
chen,CYLD,0.06607147975835814,0.26578119340250445,0.059329137167628436,0.09326119658906924,0.12212466141958121,0.2596760497568844,0.11567654089523333,0.3723566018199844,0.17664250628105574,0.0,0.27181341653469066,1.0599522590637207,1.917477011680603,1233,2,weaker half
chen,EMC4,0.28529437876864344,0.3485713808490674,0.5205216277659133,0.16703386873502188,0.07469122297398349,0.3329256753712798,0.1257777834993483,0.4673458084803813,0.3377004182063155,0.18449826715707884,0.3618121618879256,1.175262451171875,2.1142544746398926,883,2,weaker half
chen,FHIP1A,0.027759664204941036,0.05579170235084433,0.0,0.027759664204941036,0.03485304779468788,0.0,0.0,0.20063132992624705,-0.05953218166497261,0.0,0.027759664204941036,0.9441943764686584,1.7514376640319824,1032,1,weaker half
chen,FOXRED2,0.30753388710792,0.5683568557011416,0.416657108796471,0.12384860955995595,0.300600698697644,0.5287041975099342,0.15052462402946845,0.6772758290520718,0.5225452997033451,0.46118356863450305,0.5081356707935492,1.3937485218048096,2.398848533630371,1343,3,stronger half
chen,KIDINS220,0.1442967069437326,0.30154657707229876,0.18821943278567865,0.17576187484843775,0.07738874469615967,0.3049897129043669,0.09361162039154175,0.42651025039779444,0.23051276989754943,0.12252477829089017,0.32198672558295366,1.064016580581665,1.903497099876404,1107,2,weaker half
