task_key,unit,independent_control_r,shared_control_r
T1,B,0.8083851956167388,0.827057482070433
T1,CD4T,0.7541247250520418,0.7776673950472544
T1,CD8T,0.6181628373681848,0.6447884791564716
T1,DC,0.7634349615622797,0.7840750090230693
T1,Mk,0.2976576723693768,0.35371303631494927
T1,Mono_CD14,0.9500554637082635,0.9560898009693368
T1,Mono_FCGR3A,0.8982104617269074,0.9083450604482255
T1,NK,0.7360815992080532,0.7597123253816673
T2,D348,0.5517104603299573,0.6653952522560783
T2,D349,0.5896442286959998,0.7090662755406392
T2,D350,0.5456031415057819,0.6557423609614638
T2,D351,0.5216102117443259,0.6511007234270297
T2,D352,0.6466794776664568,0.7382844271510848
T2,D353,0.6039498207621476,0.7101209885033153
T2,D354,0.5768487867520593,0.7217944583500242
T2,D355,0.6335123142983293,0.7571891714551071
T2,D356,0.5768165548469691,0.7093155810072688
T2,D357,0.5957011661855367,0.6985116221042285
T2,D358,0.6206917764484481,0.7359782723951123
T2,D359,0.6909613568813017,0.7868025496834539
T2,D363,0.5802467697778472,0.7180338819578383
T2,D364,0.6212851638911482,0.7368360478495737
T2,D365,0.6575007978532564,0.7708654657438524
T2,D366,0.7238558122268666,0.807937995293255
T2,D367,0.5987524167297709,0.7210215364660145
T2,D368,0.6048645173165352,0.7155020236404138
T2,D369,0.6035370677393251,0.7098237526000134
T2,D370,0.5927965690624862,0.7080260765026221
T2,D371,0.6484862497771103,0.7392563550906011
T2,D372,0.6776506507818673,0.7634702487908785
T2,D373,0.6617725407322583,0.7557631082734865
T2,D374,0.7056308045999464,0.7951005501984355
T2,D378,0.4207341617744387,0.5133612089705599
T2,D379,0.5129893899150244,0.5919544072464771
T2,D380,0.6056352768166708,0.6724730711035952
T2,D381,0.47265913298227863,0.5532501770586349
T2,D382,0.6312513241948201,0.7342492879922224
T2,D383,0.2936966480433242,0.3709941618595645
T2,D387,0.45595477574811644,0.5715498545158985
T2,D388,0.5872131162004339,0.7014560977099952
T2,D389,0.5826667742677443,0.6956673501878637
T2,D390,0.4885820168283813,0.6088585765893431
T2,D391,0.6032204692563867,0.7102082610692286
T2,D392,0.5166580751618676,0.6429237495251497
T2,D393,0.5868810177531251,0.7279809749497531
T2,D394,0.6267516051756312,0.7635607673850587
T2,D395,0.5820860716943708,0.7138420108293937
T2,D396,0.6594842320939545,0.7675466656192047
T2,D397,0.6073800422916567,0.7423432348228961
T2,D398,0.6427023116867585,0.7637714160998759
T2,D405,0.5433703175264422,0.680519474453678
T2,D406,0.5119929616861687,0.6525833371457166
T2,D407,0.6201845092535965,0.7407449193119545
T2,D408,0.6489261840999654,0.7599958271053893
T2,D409,0.5601577179303826,0.6956018635762313
T2,D410,0.5450050138390854,0.6777173412821859
T2,D411,0.6315860261319837,0.7417557593321815
T2,D412,0.6199804307459954,0.7278862249090359
T2,D413,0.5814549380530871,0.6973444590855368
T2,D414,0.6288573713428982,0.7407724480961302
T2,D415,0.6637536286953893,0.7637592692904851
T2,D416,0.34091335767319764,0.42247784894214674
T2,D417,0.374743564839712,0.483055404866532
T2,D418,0.5322046536882881,0.6298649890396324
T2,D419,0.45296991863377556,0.5576033490346832
T2,D420,0.4852905985558644,0.5733769598996962
T2,D421,0.7542803376954297,0.8432729551713964
T2,D422,0.7596309977680247,0.8508219033683123
T2,D423,0.9276938735443316,0.9533274018375112
T2,D424,0.7721259841147166,0.857582852429644
T2,D425,0.7506794485954574,0.8326129161508237
T2,D426,0.7346426357993798,0.8098483451991938
T2,D427,0.7279922409852677,0.8109037032990325
T2,D428,0.6876663407352226,0.76180401408409
T2,D429,0.6738254213390645,0.7667399853035473
T2,D430,0.7189050514472576,0.806810000690535
T2,D431,0.6904778806557708,0.7771497469548765
T2,D432,0.6087119308905382,0.7155857817114075
T2,D433,0.6608057289802817,0.7503685517020793
T2,D434,0.5525786780826912,0.6438802806577589
