baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,pred_bundle,cluster,dataset,modality
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.04414405440911651,0.011704730801284313,0.0765833780169487,0.044095893390476704,7.524532016840041,7.50992232650221,7.539141707177873,-0.9999999999999998,,,,-0.9999999999999998,,,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.10057899951934815,0.059822872281074524,0.14133512675762178,0.10095330253243447,7.5675269599806825,7.486913967005598,7.689864445544441,0.24853059718059756,,,,0.24853059718059756,,,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.0822168937753304,0.05933985818239308,0.10341829502955079,0.08370379073021468,7.46577772918981,7.415345248927694,7.52453303391027,-0.16229228487562025,,,,-0.16229228487562025,,,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.30788409816367285,0.19178686519818655,0.4033380635082721,0.2816788667280759,10.153263192275121,9.561924811853299,11.110081374262192,,,,,,,,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.2866997833415452,0.18983963433420287,0.3817154735617804,0.2672692683214943,10.069518165827743,9.829060793179925,10.36324242943067,,,,,,,,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.42042498848685583,0.3556755761646653,0.47593597710624125,0.3959149587705421,9.808657008187042,9.678092250633224,9.959761630487268,,,,,,,,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,18320,1778,2,0.0546606220304966,0.042786359786987305,0.06653488427400589,0.0546876210719347,7.639239662697692,7.614986229107053,7.663493096288331,,,,,,,,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,15532,4566,6,0.028818906052038074,0.011906629434088246,0.04572500505795082,0.02876584503489236,8.214425030834468,7.657291389051781,9.11740380691713,,,,,,,,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,9681,10417,12,0.04490239029595008,0.02972333385938934,0.05923449027371437,0.04421055949448297,7.874549637404041,7.56481129188196,8.336392686549358,,,,,,,,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,15908,1781,2,0.18281010538339615,0.18057113885879517,0.18504907190799713,0.1828342229127884,7.615650253934348,7.551545139862892,7.679755368005804,,,,,,,,C3,mccutcheon_CRISPRa,CRISPRa
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,14278,3411,6,0.12295174536605676,0.08826405679186185,0.15638555176556104,0.12291513818005721,7.76939216919489,7.669558114824305,7.900283779970479,,,,,,,,C3,mccutcheon_CRISPRa,CRISPRa
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,8790,8899,12,0.10795331591119368,0.09008370944454025,0.12292258902452886,0.10872071577856939,7.793851197887419,7.661684384974319,7.955292528001866,,,,,,,,C3,mccutcheon_CRISPRa,CRISPRa
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,301574,34240,30,0.10482236053794622,0.09073740519738446,0.11824253604592133,0.10485225518544515,7.53592935215535,7.458234108271307,7.625851392523952,0.10954882901001893,0.0696328921673813,0.0947982035087625,,,0.16421539135391297,,C3,chen,KO
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,256042,79772,74,0.11550945421127048,0.10606493732602512,0.1251791024958161,0.11620183064145306,7.560398371889906,7.4980891789608055,7.622710812532371,0.09391468422046467,-0.02944737216942673,-0.010125118461135665,,,0.3213165432919564,,C3,chen,KO
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,172024,163790,148,0.10866196956359656,0.10240637142938008,0.11462252024793997,0.10798829897130663,7.547757123432415,7.500693551802674,7.599290341468422,0.011517677592538793,-0.04835814213982218,0.0811140924227908,,,0.00179708249464776,,C3,chen,KO
