task_key,unit,stratum,partition,independent_control_r,shared_control_r
T4,C4_modality_lo_ko_25,perturbation=STAT3,0,0.09209926692292308,0.35098952555450513
T4,C4_modality_lo_ko_25,perturbation=STAT3,1,0.11547762242465857,0.4171050676296997
T4,C4_modality_lo_ko_25,perturbation=STAT3,2,0.0939425851093717,0.4213885768320968
T4,C4_modality_lo_ko_25,perturbation=STAT3,3,0.10566175699529787,0.40071979260911517
T4,C4_modality_lo_ko_25,perturbation=STAT3,4,0.013793084589387558,0.3700664835309279
T4,C4_modality_lo_ko_25,perturbation=STAT3,5,0.10127000269360498,0.3609713898361883
T4,C4_modality_lo_ko_25,perturbation=STAT3,6,-0.03247151622329025,0.3483068521458582
T4,C4_modality_lo_ko_25,perturbation=STAT3,7,0.09852757947041209,0.37431373112918637
T4,C4_modality_lo_ko_25,perturbation=STAT3,8,0.08803473738556238,0.3725634848272882
T4,C4_modality_lo_ko_25,perturbation=STAT3,9,0.007324086263026219,0.3134925432500787
T4,C4_modality_lo_ko_25,perturbation=STAT3,10,0.061046623215773185,0.3803602295718081
T4,C4_modality_lo_ko_25,perturbation=STAT3,11,0.05774825974937959,0.3573328036118415
T4,C4_modality_lo_ko_25,perturbation=STAT3,12,0.11750732087735952,0.3746610212099375
T4,C4_modality_lo_ko_25,perturbation=STAT3,13,0.04656722694922031,0.3320724227928883
T4,C4_modality_lo_ko_25,perturbation=STAT3,14,0.06717870560718361,0.392329759796552
T4,C4_modality_lo_ko_25,perturbation=STAT3,15,0.11098716015168174,0.36010640363149676
T4,C4_modality_lo_ko_25,perturbation=STAT3,16,0.039118428829622943,0.3695615892920005
T4,C4_modality_lo_ko_25,perturbation=STAT3,17,0.06706524475537688,0.36571805938458474
T4,C4_modality_lo_ko_25,perturbation=STAT3,18,0.03113536826857355,0.3491105695350221
T4,C4_modality_lo_ko_25,perturbation=STAT3,19,0.057011532866361285,0.37048188165302665
T4,C4_modality_lo_ko_25,perturbation=STAT3,20,0.06828488624491211,0.3591076582514128
T4,C4_modality_lo_ko_25,perturbation=STAT3,21,0.06673773329540168,0.3966773360553722
T4,C4_modality_lo_ko_25,perturbation=STAT3,22,0.10069584491651593,0.3926815266030111
T4,C4_modality_lo_ko_25,perturbation=STAT3,23,0.10589358088993266,0.3773277170495971
T4,C4_modality_lo_ko_25,perturbation=STAT3,24,0.00026128306242458087,0.36418437530559084
T4,C4_modality_lo_ko_25,perturbation=STAT3,25,0.09371840078247563,0.4017058805304902
T4,C4_modality_lo_ko_25,perturbation=STAT3,26,0.10918468151924395,0.3967127150047757
T4,C4_modality_lo_ko_25,perturbation=STAT3,27,0.08734120819566771,0.3704798729130153
T4,C4_modality_lo_ko_25,perturbation=STAT3,28,0.10836749722317744,0.3611058572152366
T4,C4_modality_lo_ko_25,perturbation=STAT3,29,0.10327947574348449,0.3595335729411665
T4,C4_modality_lo_ko_25,perturbation=STAT3,30,0.10925353891663107,0.406710142129162
T4,C4_modality_lo_ko_25,perturbation=STAT3,31,0.039024041397831215,0.32996296840207207
T4,C4_modality_lo_ko_25,perturbation=STAT3,32,0.09608158152716928,0.35716283737627635
T4,C4_modality_lo_ko_25,perturbation=STAT3,33,0.04814715726746714,0.30023389302332293
T4,C4_modality_lo_ko_25,perturbation=STAT3,34,0.08421358556250848,0.39018311011750945
T4,C4_modality_lo_ko_25,perturbation=STAT3,35,-0.028637355074515074,0.3370459817150143
T4,C4_modality_lo_ko_25,perturbation=STAT3,36,0.09628770329954867,0.3820470741615582
T4,C4_modality_lo_ko_25,perturbation=STAT3,37,0.03857577169713562,0.3266685102790497
