n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
96,0,D353,pearson_delta,0.3322,cell-mean,0.2691,0.0631,0.03085,110147,583,600,74
96,0,D353,e_distance,0.581,donor-shift,6.4551,5.8742,0.03085,110147,583,600,74
96,0,D353,aucell_delta_score,-0.0134,donor-shift,-0.0333,0.0199,0.03085,110147,583,600,74
96,0,D364,pearson_delta,0.206,cell-mean,0.2365,-0.0305,0.03085,110147,484,600,74
96,0,D364,e_distance,0.6328,donor-shift,5.3014,4.6686,0.03085,110147,484,600,74
96,0,D364,aucell_delta_score,-0.0135,donor-shift,-0.0157,0.0021,0.03085,110147,484,600,74
96,0,D397,pearson_delta,0.2509,cell-mean,0.2951,-0.0442,0.03085,110147,600,600,74
96,0,D397,e_distance,0.4674,cell-mean,5.1438,4.6764,0.03085,110147,600,600,74
96,0,D397,aucell_delta_score,-0.0062,donor-shift,-0.0244,0.0182,0.03085,110147,600,600,74
96,0,D411,pearson_delta,0.2842,cell-mean,0.1822,0.102,0.03085,110147,600,600,74
96,0,D411,e_distance,0.4658,donor-shift,4.8124,4.3465,0.03085,110147,600,600,74
96,0,D411,aucell_delta_score,-0.009,donor-shift,-0.0223,0.0134,0.03085,110147,600,600,74
96,0,D424,pearson_delta,0.2161,donor-shift,0.269,-0.0529,0.03085,110147,300,600,74
96,0,D424,e_distance,0.5884,donor-shift,5.2728,4.6844,0.03085,110147,300,600,74
96,0,D424,aucell_delta_score,-0.01,donor-shift,-0.0196,0.0096,0.03085,110147,300,600,74
96,0,D429,pearson_delta,0.239,cell-mean,0.141,0.098,0.03085,110147,600,600,74
96,0,D429,e_distance,0.6977,donor-shift,5.5106,4.8129,0.03085,110147,600,600,74
96,0,D429,aucell_delta_score,-0.0107,donor-shift,-0.0355,0.0247,0.03085,110147,600,600,74
96,0,D431,pearson_delta,0.2624,cell-mean,0.2502,0.0122,0.03085,110147,600,600,74
96,0,D431,e_distance,0.6418,cell-mean,5.4991,4.8573,0.03085,110147,600,600,74
96,0,D431,aucell_delta_score,-0.0106,donor-shift,-0.065,0.0544,0.03085,110147,600,600,74
96,0,D454,pearson_delta,0.3555,cell-mean,0.5605,-0.205,0.03085,110147,300,300,74
96,0,D454,e_distance,0.3113,donor-shift,5.7057,5.3945,0.03085,110147,300,300,74
96,0,D454,aucell_delta_score,-0.0033,donor-shift,-0.0223,0.019,0.03085,110147,300,300,74
96,0,D483,pearson_delta,0.316,cell-mean,0.2728,0.0432,0.03085,110147,600,600,74
96,0,D483,e_distance,0.3929,cell-mean,5.1181,4.7251,0.03085,110147,600,600,74
96,0,D483,aucell_delta_score,-0.0127,cell-mean,-0.0887,0.076,0.03085,110147,600,600,74
96,0,D484,pearson_delta,0.2905,cell-mean,0.2507,0.0398,0.03085,110147,600,600,74
96,0,D484,e_distance,0.5293,cell-mean,5.4487,4.9194,0.03085,110147,600,600,74
96,0,D484,aucell_delta_score,-0.0125,donor-shift,-0.0232,0.0107,0.03085,110147,600,600,74
96,1,D353,pearson_delta,0.3563,cell-mean,0.2691,0.0872,0.03063,110147,583,600,74
96,1,D353,e_distance,0.7353,donor-shift,6.4551,5.7198,0.03063,110147,583,600,74
96,1,D353,aucell_delta_score,-0.0163,donor-shift,-0.0333,0.0171,0.03063,110147,583,600,74
96,1,D364,pearson_delta,0.317,cell-mean,0.2365,0.0805,0.03063,110147,484,600,74
96,1,D364,e_distance,0.5708,donor-shift,5.3014,4.7307,0.03063,110147,484,600,74
96,1,D364,aucell_delta_score,-0.0138,donor-shift,-0.0157,0.0019,0.03063,110147,484,600,74
96,1,D397,pearson_delta,0.3763,cell-mean,0.2951,0.0812,0.03063,110147,600,600,74
96,1,D397,e_distance,0.4282,cell-mean,5.1438,4.7157,0.03063,110147,600,600,74
96,1,D397,aucell_delta_score,-0.0182,donor-shift,-0.0244,0.0063,0.03063,110147,600,600,74
96,1,D411,pearson_delta,0.2281,cell-mean,0.1822,0.0459,0.03063,110147,600,600,74
96,1,D411,e_distance,0.5768,donor-shift,4.8124,4.2356,0.03063,110147,600,600,74
96,1,D411,aucell_delta_score,-0.0097,donor-shift,-0.0223,0.0126,0.03063,110147,600,600,74
96,1,D424,pearson_delta,0.2232,donor-shift,0.269,-0.0459,0.03063,110147,300,600,74
96,1,D424,e_distance,0.68,donor-shift,5.2728,4.5927,0.03063,110147,300,600,74
96,1,D424,aucell_delta_score,-0.0079,donor-shift,-0.0196,0.0118,0.03063,110147,300,600,74
96,1,D429,pearson_delta,0.3463,cell-mean,0.141,0.2053,0.03063,110147,600,600,74
96,1,D429,e_distance,0.6036,donor-shift,5.5106,4.9071,0.03063,110147,600,600,74
96,1,D429,aucell_delta_score,-0.0147,donor-shift,-0.0355,0.0207,0.03063,110147,600,600,74
96,1,D431,pearson_delta,0.3477,cell-mean,0.2502,0.0975,0.03063,110147,600,600,74
96,1,D431,e_distance,0.578,cell-mean,5.4991,4.9212,0.03063,110147,600,600,74
96,1,D431,aucell_delta_score,-0.0154,donor-shift,-0.065,0.0495,0.03063,110147,600,600,74
96,1,D454,pearson_delta,0.3162,cell-mean,0.5605,-0.2443,0.03063,110147,300,300,74
