n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
96,0,D353,pearson_delta,0.4059,cell-mean,0.2691,0.1368,0.03057,110147,583,600,74
96,0,D353,e_distance,0.7254,donor-shift,6.4551,5.7297,0.03057,110147,583,600,74
96,0,D353,aucell_delta_score,-0.0143,donor-shift,-0.0333,0.019,0.03057,110147,583,600,74
96,0,D364,pearson_delta,0.3347,cell-mean,0.2365,0.0982,0.03057,110147,484,600,74
96,0,D364,e_distance,0.5472,donor-shift,5.3014,4.7543,0.03057,110147,484,600,74
96,0,D364,aucell_delta_score,-0.0131,donor-shift,-0.0157,0.0026,0.03057,110147,484,600,74
96,0,D397,pearson_delta,0.4237,cell-mean,0.2951,0.1286,0.03057,110147,600,600,74
96,0,D397,e_distance,0.4117,cell-mean,5.1438,4.7322,0.03057,110147,600,600,74
96,0,D397,aucell_delta_score,-0.0141,donor-shift,-0.0244,0.0104,0.03057,110147,600,600,74
96,0,D411,pearson_delta,0.3465,cell-mean,0.1822,0.1643,0.03057,110147,600,600,74
96,0,D411,e_distance,0.4571,donor-shift,4.8124,4.3553,0.03057,110147,600,600,74
96,0,D411,aucell_delta_score,-0.0053,donor-shift,-0.0223,0.017,0.03057,110147,600,600,74
96,0,D424,pearson_delta,0.2169,donor-shift,0.269,-0.0522,0.03057,110147,300,600,74
96,0,D424,e_distance,0.6518,donor-shift,5.2728,4.621,0.03057,110147,300,600,74
96,0,D424,aucell_delta_score,-0.009,donor-shift,-0.0196,0.0106,0.03057,110147,300,600,74
96,0,D429,pearson_delta,0.3783,cell-mean,0.141,0.2373,0.03057,110147,600,600,74
96,0,D429,e_distance,0.6697,donor-shift,5.5106,4.8409,0.03057,110147,600,600,74
96,0,D429,aucell_delta_score,-0.0102,donor-shift,-0.0355,0.0252,0.03057,110147,600,600,74
96,0,D431,pearson_delta,0.3965,cell-mean,0.2502,0.1463,0.03057,110147,600,600,74
96,0,D431,e_distance,0.7097,cell-mean,5.4991,4.7894,0.03057,110147,600,600,74
96,0,D431,aucell_delta_score,-0.0102,donor-shift,-0.065,0.0548,0.03057,110147,600,600,74
96,0,D454,pearson_delta,0.482,cell-mean,0.5605,-0.0785,0.03057,110147,300,300,74
96,0,D454,e_distance,0.3271,donor-shift,5.7057,5.3787,0.03057,110147,300,300,74
96,0,D454,aucell_delta_score,-0.0076,donor-shift,-0.0223,0.0147,0.03057,110147,300,300,74
96,0,D483,pearson_delta,0.4108,cell-mean,0.2728,0.138,0.03057,110147,600,600,74
96,0,D483,e_distance,0.3766,cell-mean,5.1181,4.7414,0.03057,110147,600,600,74
96,0,D483,aucell_delta_score,-0.014,cell-mean,-0.0887,0.0747,0.03057,110147,600,600,74
96,0,D484,pearson_delta,0.4023,cell-mean,0.2507,0.1516,0.03057,110147,600,600,74
96,0,D484,e_distance,0.4834,cell-mean,5.4487,4.9654,0.03057,110147,600,600,74
96,0,D484,aucell_delta_score,-0.013,donor-shift,-0.0232,0.0102,0.03057,110147,600,600,74
96,1,D353,pearson_delta,0.4482,cell-mean,0.2691,0.1791,0.03033,110147,583,600,74
96,1,D353,e_distance,0.6014,donor-shift,6.4551,5.8537,0.03033,110147,583,600,74
96,1,D353,aucell_delta_score,-0.0148,donor-shift,-0.0333,0.0185,0.03033,110147,583,600,74
96,1,D364,pearson_delta,0.3157,cell-mean,0.2365,0.0792,0.03033,110147,484,600,74
96,1,D364,e_distance,0.5517,donor-shift,5.3014,4.7497,0.03033,110147,484,600,74
96,1,D364,aucell_delta_score,-0.0182,donor-shift,-0.0157,-0.0026,0.03033,110147,484,600,74
96,1,D397,pearson_delta,0.4046,cell-mean,0.2951,0.1095,0.03033,110147,600,600,74
96,1,D397,e_distance,0.3981,cell-mean,5.1438,4.7458,0.03033,110147,600,600,74
96,1,D397,aucell_delta_score,-0.0137,donor-shift,-0.0244,0.0107,0.03033,110147,600,600,74
96,1,D411,pearson_delta,0.198,cell-mean,0.1822,0.0158,0.03033,110147,600,600,74
96,1,D411,e_distance,0.5746,donor-shift,4.8124,4.2378,0.03033,110147,600,600,74
96,1,D411,aucell_delta_score,-0.0111,donor-shift,-0.0223,0.0112,0.03033,110147,600,600,74
96,1,D424,pearson_delta,0.1798,donor-shift,0.269,-0.0893,0.03033,110147,300,600,74
96,1,D424,e_distance,0.6505,donor-shift,5.2728,4.6223,0.03033,110147,300,600,74
96,1,D424,aucell_delta_score,-0.0087,donor-shift,-0.0196,0.0109,0.03033,110147,300,600,74
96,1,D429,pearson_delta,0.3572,cell-mean,0.141,0.2162,0.03033,110147,600,600,74
96,1,D429,e_distance,0.5797,donor-shift,5.5106,4.9309,0.03033,110147,600,600,74
96,1,D429,aucell_delta_score,-0.014,donor-shift,-0.0355,0.0215,0.03033,110147,600,600,74
96,1,D431,pearson_delta,0.3648,cell-mean,0.2502,0.1146,0.03033,110147,600,600,74
96,1,D431,e_distance,0.6073,cell-mean,5.4991,4.8918,0.03033,110147,600,600,74
96,1,D431,aucell_delta_score,-0.0148,donor-shift,-0.065,0.0502,0.03033,110147,600,600,74
96,1,D454,pearson_delta,0.3756,cell-mean,0.5605,-0.1849,0.03033,110147,300,300,74
96,1,D454,e_distance,0.4337,donor-shift,5.7057,5.272,0.03033,110147,300,300,74
96,1,D454,aucell_delta_score,-0.0089,donor-shift,-0.0223,0.0134,0.03033,110147,300,300,74
96,1,D483,pearson_delta,0.4554,cell-mean,0.2728,0.1826,0.03033,110147,600,600,74
96,1,D483,e_distance,0.3294,cell-mean,5.1181,4.7886,0.03033,110147,600,600,74
96,1,D483,aucell_delta_score,-0.0166,cell-mean,-0.0887,0.0721,0.03033,110147,600,600,74
96,1,D484,pearson_delta,0.4753,cell-mean,0.2507,0.2246,0.03033,110147,600,600,74
96,1,D484,e_distance,0.4329,cell-mean,5.4487,5.0158,0.03033,110147,600,600,74
96,1,D484,aucell_delta_score,-0.0126,donor-shift,-0.0232,0.0106,0.03033,110147,600,600,74
