n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
8,0,D353,pearson_delta,0.5399,cell-mean,0.2556,0.2842,0.02919,9600,583,600,50
8,0,D353,e_distance,0.4972,donor-shift,6.5441,6.0469,0.02919,9600,583,600,50
8,0,D353,aucell_delta_score,-0.0082,donor-shift,-0.0228,0.0146,0.02919,9600,583,600,50
8,0,D364,pearson_delta,0.3714,cell-mean,0.2399,0.1315,0.02919,9600,484,600,50
8,0,D364,e_distance,0.4711,donor-shift,5.064,4.5929,0.02919,9600,484,600,50
8,0,D364,aucell_delta_score,-0.0113,donor-shift,-0.0157,0.0044,0.02919,9600,484,600,50
8,0,D397,pearson_delta,0.4453,cell-mean,0.2133,0.232,0.02919,9600,600,600,50
8,0,D397,e_distance,0.4753,cell-mean,5.162,4.6867,0.02919,9600,600,600,50
8,0,D397,aucell_delta_score,-0.0147,donor-shift,-0.0244,0.0098,0.02919,9600,600,600,50
8,0,D411,pearson_delta,0.274,cell-mean,0.1326,0.1415,0.02919,9600,600,600,50
8,0,D411,e_distance,0.7122,donor-shift,4.8919,4.1797,0.02919,9600,600,600,50
8,0,D411,aucell_delta_score,-0.0076,donor-shift,-0.0223,0.0147,0.02919,9600,600,600,50
8,0,D424,pearson_delta,0.1541,donor-shift,-0.0742,0.2282,0.02919,9600,300,600,50
8,0,D424,e_distance,0.7222,donor-shift,5.2882,4.566,0.02919,9600,300,600,50
8,0,D424,aucell_delta_score,-0.0086,donor-shift,-0.0196,0.011,0.02919,9600,300,600,50
8,0,D429,pearson_delta,0.4571,cell-mean,0.1946,0.2624,0.02919,9600,600,600,50
8,0,D429,e_distance,0.4986,donor-shift,5.5299,5.0313,0.02919,9600,600,600,50
8,0,D429,aucell_delta_score,-0.0101,cell-mean,-0.0432,0.0332,0.02919,9600,600,600,50
8,0,D431,pearson_delta,0.494,cell-mean,0.3291,0.1649,0.02919,9600,600,600,50
8,0,D431,e_distance,0.4363,cell-mean,5.5565,5.1202,0.02919,9600,600,600,50
8,0,D431,aucell_delta_score,-0.0094,cell-mean,-0.046,0.0366,0.02919,9600,600,600,50
8,0,D454,pearson_delta,0.4735,cell-mean,0.5766,-0.1031,0.02919,9600,300,300,50
8,0,D454,e_distance,0.3431,donor-shift,5.7636,5.4205,0.02919,9600,300,300,50
8,0,D454,aucell_delta_score,-0.0071,donor-shift,-0.0223,0.0152,0.02919,9600,300,300,50
8,0,D483,pearson_delta,0.4785,cell-mean,0.2478,0.2308,0.02919,9600,600,600,50
8,0,D483,e_distance,0.3511,cell-mean,5.156,4.8049,0.02919,9600,600,600,50
8,0,D483,aucell_delta_score,-0.0092,cell-mean,-0.042,0.0329,0.02919,9600,600,600,50
8,0,D484,pearson_delta,0.4945,cell-mean,0.19,0.3045,0.02919,9600,600,600,50
8,0,D484,e_distance,0.5004,cell-mean,5.5101,5.0097,0.02919,9600,600,600,50
8,0,D484,aucell_delta_score,-0.0104,donor-shift,-0.0232,0.0129,0.02919,9600,600,600,50
8,1,D353,pearson_delta,0.4737,cell-mean,0.2058,0.2679,0.02868,8860,583,600,50
8,1,D353,e_distance,0.6022,donor-shift,6.3528,5.7506,0.02868,8860,583,600,50
8,1,D353,aucell_delta_score,-0.0189,donor-shift,-0.2163,0.1974,0.02868,8860,583,600,50
8,1,D364,pearson_delta,0.4049,cell-mean,0.2133,0.1916,0.02868,8860,484,600,50
8,1,D364,e_distance,0.5978,donor-shift,5.4413,4.8436,0.02868,8860,484,600,50
8,1,D364,aucell_delta_score,-0.0248,donor-shift,-0.0907,0.0659,0.02868,8860,484,600,50
8,1,D397,pearson_delta,0.471,cell-mean,0.2231,0.2479,0.02868,8860,600,600,50
8,1,D397,e_distance,0.4864,cell-mean,5.0911,4.6047,0.02868,8860,600,600,50
8,1,D397,aucell_delta_score,-0.024,donor-shift,-0.1116,0.0876,0.02868,8860,600,600,50
8,1,D411,pearson_delta,0.273,cell-mean,0.0751,0.1979,0.02868,8860,600,600,50
