cluster,dataset,modality,split,baseline,family,action,headline_eligible,registry_task,pearson_delta,pearson_delta_ontarget,e_distance,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,ran
C3,chen,KO,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,-0.06203903294663178,-0.062110282292511934,7.5053342314298845,0.08236029706819462,0.26299260602111485,0.15633570066925298,0.0,0.0,-0.007526821349394684,True
C3,chen,KO,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,-0.010549790984982424,-0.009673646278364735,7.593427590021379,-0.04690079873631523,-0.0615692913023735,-0.07186195616125869,0.0,0.0,-0.10107274621794396,True
C3,chen,KO,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,-0.0020410643593169043,-0.0024826716592518073,7.570682579904698,-0.06384778595808414,-0.10983299248783691,-0.12838936087372688,0.0,-0.01735156436063879,-0.06366501206821817,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,-0.04320741258561611,-0.04352843575179577,7.586734218535415,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.016170775673041742,0.015256293738881746,7.605900137322888,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.01958797328794996,0.017967837552229565,7.7230831101696245,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,-0.08041373826563358,-0.0811314838938415,7.696512881949536,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,-0.05020018853247166,-0.05053953609118859,8.176164605697226,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.012265056371688843,0.012883730232715607,7.890983246026562,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,schmidt,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.014134275194789683,0.008071508391627244,10.087434513449681,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,schmidt,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,-0.013449621723136969,-0.013281479581362672,10.223258243366011,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,schmidt,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,-0.0017225496574408477,-0.0022802481479528877,9.94480229058987,0.0,0.0,0.0,0.0,0.0,0.0,True
C3,shifrut,KO,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.06864489614963531,0.06868991255760193,7.5310492419386605,0.19999999999999996,0.0,0.0,0.0,0.9999999999999998,0.0,True
C3,shifrut,KO,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.07574365744367242,0.07650558724999428,7.559881181680706,0.07212356231906365,0.0,0.0,0.0,0.36061781159531825,0.0,True
C3,shifrut,KO,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,-0.030848921462893485,-0.031202920246869326,7.570905076495249,0.06872761823632767,0.0,0.0,0.0,0.34363809118163835,0.0,True
